epoch;accuracy;s;s_temp
527;0.8708;4;5
528;0.933;4;5
529;0.9194;4;3
530;0.9312;4;5
531;0.9952;4;5
532;0.7836;4;3
533;0.9434;4;5
534;0.9482;4;5
535;0.8892;4;3
536;0.9634;4;5
537;0.973;5;5
538;0.957;5;4
539;0.8814;5;6
540;0.8078;5;6
541;0.9476;5;4
542;0.8288;5;6
543;0.8266;4;4
544;0.654;4;3
545;0.8992;4;5
546;0.9004;5;5
547;0.9632;5;4
548;0.753;5;6
549;0.9934;4;4
550;0.909;4;3
551;0.8716;4;5
552;0.9392;4;5
553;0.8086;4;3
554;0.7782;4;5
555;0.9114;4;5
556;0.8922;4;3
557;0.9908;4;5
558;0.9454;5;5
559;0.9468;5;4
560;0.8306;5;6
561;0.9022;4;4
562;0.7176;4;3
563;0.7312;4;5
564;0.9368;4;5
565;0.7884;4;3
566;0.882;4;5
567;0.9416;4;5
568;0.9222;4;3
569;0.8468;4;5
570;0.9066;4;5
571;0.7406;4;3
572;1;4;5
573;0.7604;5;5
574;0.8914;5;4
575;0.671;5;6
576;0.8708;4;4
577;0.855;4;3
578;0.9462;4;5
579;0.929;5;5
580;0.9562;5;4
581;0.8608;5;6
582;0.8338;4;4
583;0.7436;4;3
584;0.762;4;5
585;0.787;4;5
586;0.7338;4;3
587;0.9562;4;5
588;1;5;5
589;0.9684;5;4
590;0.8552;5;6
591;0.8514;5;6
592;1;5;4
593;0.8336;5;6
594;0.8738;4;4
595;0.9674;4;3
596;0.9852;4;5
597;0.9506;5;5
598;1;5;4
599;0.9334;5;6
600;0.9926;4;4
601;0.8702;4;3
602;1;4;5
603;0.8944;5;5
604;0.96;5;4
605;0.7066;5;6
606;0.8604;4;4
607;0.8738;4;3
608;0.8506;4;5
609;0.8824;3;3
610;0.5284;3;2
611;0.8544;3;4
612;0.8788;3;4
613;0.5036;3;2
614;0.9792;3;4
615;1;4;4
616;0.8744;4;3
617;0.8866;4;5
618;0.9374;4;5
619;0.8162;4;3
620;1;4;5
621;0.9574;5;5
622;1;5;4
623;0.846;5;6
624;0.9336;4;4
625;0.7106;4;3
626;0.913;4;5
627;0.9792;4;5
628;0.742;4;3
629;1;4;5
630;0.9838;5;5
631;0.9776;5;4
632;0.7868;5;6
633;0.7668;5;6
634;1;5;4
635;0.7484;5;6
636;1;4;4
637;0.8898;4;3
638;0.9638;4;5
639;0.8468;4;5
640;0.8856;4;3
641;0.9678;4;5
642;0.9418;5;5
643;0.9722;5;4
644;0.9752;5;6
645;0.7566;6;6
646;0.929;6;5
647;0.8338;6;7
648;0.99;5;5
649;1;5;4
650;0.834;5;6
651;0.8302;4;4
652;0.7292;4;3
653;0.905;4;5
